ID;FictionWork;FictionWorkAuthor;FictionWorkYear;FirstFilmAdaptation;FilmAdaptationYear
2169;The Naked Face;Sidney Sheldon;1970;The Naked Face;1984
2170;Naked Lunch;William S. Burroughs;1959;Naked Lunch;1991
2171;The Name of the Game is Kidnapping (ゲームの名は誘拐, Gēmu no Na wa Yūkai);Keigo Higashino;2002;G@me;2003
2172;The Name of the Rose;Umberto Eco;1980;The Name of the Rose;1986
2173;The Nanny;Dan Greenburg;1987;The Guardian;1990
2174;The Nanny Diaries;Emma McLaughlin and Nicola Kraus;2002;The Nanny Diaries;2007
2175;National Velvet;Enid Bagnold;1935;National Velvet;1944
2177;The Natural;Bernard Malamud;1952;The Natural;1984
2178;Nest in a Fallen Tree;Joy Cowley;1967;The Night Digger;1971
2179;The Net;Rex Beach;1912;Fair Lady;1922
2180;Nevada;Zane Grey;1928;Nevada;1927
2183;Never Cry Wolf;Farley Mowat;1963;Never Cry Wolf;1983
2184;The Neverending Story;Michael Ende;1979;The NeverEnding Story;1984
2187;News of the World;Paulette Jiles;2016;News of the World;2020
2188;Nicholas Nickleby;NaN;NaN;The Life and Adventures of Nicholas Nickleby;1947
2192;Night and the City;Gerald Kersh;1938;Night and the City;1950
2194;Night Has a Thousand Eyes;Cornell Woolrich;1945;Night Has a Thousand Eyes;1948
2195;The Night of the Generals;Hans Hellmut Kirst;1963;The Night of the Generals;1967
2196;The Night of the Hunter;Davis Grubb;1953;The Night of the Hunter;1955
2198;Night Shift;Maritta Wolff;1942;The Man I Love;1947
2199;Night Watch (Russian: «Ночной Дозор»);Sergey Lukyanenko;1998;Night Watch;2004
2201;Nightmare (1942);NaN;NaN;Fear in the Night;1947
2203;Nightmare Alley;William Lindsay Gresham;1946;Nightmare Alley;1947
2205;Nights in Rodanthe;Nicholas Sparks;2002;Nights in Rodanthe;2008
2206;Nightwing;Martin Cruz Smith;1977;Nightwing;1979
2207;Nine and a Half Weeks: A Memoir of a Love Affair;Elizabeth McNeill;1978;9½ Weeks;1986
2210;Nineteen Eighty-Four;George Orwell;1949;Nineteen Eighty-Four;1954
2214;The Ninth Configuration;William Peter Blatty;1978;The Ninth Configuration;1980
2215;No Country for Old Men;Cormac McCarthy;2005;No Country for Old Men;2007
2216;No Down Payment;John McPartland;1957;No Down Payment;1957
2217;No Orchids for Miss Blandish;James Hadley Chase;1939;No Orchids for Miss Blandish;1948
2220;Nobody Loves a Drunken Indian;Clair Huffaker;1967;The Last Warrior;1970
2221;The North Star;Henry Wilson Allen;1956;North Star;1996
2222;Northern Lights;Philip Pullman;1995;The Golden Compass;2007
2223;Northwest Passage;Kenneth Roberts;1937;Northwest Passage;1940
2224;Nostromo;Joseph Conrad;1904;The Silver Treasure;1926
2225;The Notebook;Nicholas Sparks;1996;The Notebook;2004
2226;The Notebooks of Major Thompson (French: Les Carnets du major Thompson);Pierre Daninos;1954;The French, They Are a Funny Race;1955
2227;Nothing Lasts Forever;Roderick Thorp;1979;Die Hard;1988
2228;Nurse Matilda;Christianna Brand;1964;Nanny McPhee;2005
2230;Odd Man Out;F. L. Green;1945;Odd Man Out;1947
2231;Odds Against Tomorrow;William P. McGivern;1958;Odds Against Tomorrow;1959
2232;Odyssey;NaN;NaN;The Odyssey (Italian: L'Odissea);1911
2238;Audition;Ryu Murakami;1997;Audition;1999
2239;Of Human Bondage;W. Somerset Maugham;1915;Of Human Bondage;1934
2242;Of Mice and Men;John Steinbeck;1937;Of Mice and Men;1939
2245;Oil!;Upton Sinclair;1927;There Will Be Blood;2007
2246;The Old Curiosity Shop;NaN;NaN;The Old Curiosity Shop;1914
2253;The Old Man and the Sea;NaN;NaN;The Old Man and the Sea;1958
2256;Old Yeller;Fred Gipson;1956;Old Yeller;1957
2259;Oliver Twist;NaN;NaN;Oliver Twist;NaN
2276;Oliver's Story;Erich Segal;1977;Oliver's Story;1978
2277;Oms Linked Together (French: Oms en série);Stefan Wul;1957;Fantastic Planet;1973
2278;On Her Majesty's Secret Service;Ian Fleming;1963;On Her Majesty's Secret Service;1969
2279;On Stranger Tides;Tim Powers;1987;Pirates of the Caribbean: On Stranger Tides;2011
2280;One Flew Over the Cuckoo's Nest;Ken Kesey;1962;One Flew Over the Cuckoo's Nest;1975
2281;One for the Money;Janet Evanovich;1994;One for the Money;2011
2282;One Gallant Rush;Peter Burchard;1965;Glory;1989
2283;One Hundred Years Ahead (Russian: Сто лет тому вперед);Kir Bulychev;1976;Guest from the Future (Russian: Гостья из будущего) (1985);1985
2284;One More Spring;Robert Nathan;1933;One More Spring;1935
2285;One Shot;Lee Child;2004;Jack Reacher;2012
2286;One Thousand and One Nights;NaN;NaN;The Thief of Bagdad;1924
2298;The Open Range Men;Lauran Paine;1990;Open Range;2003
2299;Operation Terror;Gordon Gordon and Mildred Gordon;1961;Experiment in Terror;1962
2300;Ordinary People;Judith Guest;1976;Ordinary People;1980
2301;Orlando: A Biography;Virginia Woolf;1928;Orlando;1992
2302;The Osterman Weekend;Robert Ludlum;1972;The Osterman Weekend;1983
2303;The Other Boleyn Girl;Philippa Gregory;2001;The Other Boleyn Girl (2003);2003
2305;The Other One;Catherine Turney;1955;Back from the Dead;1957
2306;The Other Side of Midnight;Sidney Sheldon;1973;The Other Side of Midnight;1977
2307;Our Girl Friday;Ernest K. Gann;1951;Our Girl Friday (1953);1953
2308;Our Man in Havana;Graham Greene;1958;Our Man in Havana;1959
2309;Out of Sight;Elmore Leonard;1996;Out of Sight;1998
2310;An Outcast of the Islands;Joseph Conrad;1896;Outcast of the Islands;1952
2311;The Outsiders;S. E. Hinton;1967;The Outsiders;1983
2312;Over the River;John Galsworthy;1933;One More River;1934
2313;The Ox-Bow Incident;Walter Van Tilburg Clark;1940;The Ox-Bow Incident;1943
2314;A Painted Devil;Thomas P. Cullinan;1966;The Beguiled;1971
2315;A Painted House;John Grisham;2001;A Painted House;2003
2316;The Painted Veil;W. Somerset Maugham;1925;The Painted Veil;1934
2319;Parineeta;Sharat Chandra Chattopadhyay;1914;Parineeta;1942
2323;Paris Blues;Harold Flender;1957;Paris Blues;1961
2324;Pasó por aquí (Once in the Saddle);Eugene Manlove Rhodes;1947;Four Faces West;1948
2325;A Passage to India;E. M. Forster;1924;A Passage to India;1984
2326;Patriot Games;Tom Clancy;1987;Patriot Games;1992
2327;The Peacock Spring;Rumer Godden;1975;The Peacock Spring;1996
2328;The Pelican Brief;John Grisham;1992;The Pelican Brief;1993
2329;The Penal Colony;Richard Herley;1987;No Escape;1994
2330;The People That Time Forgot;Edgar Rice Burroughs;1918;The People That Time Forgot;1977
2331;Percy Jackson & the Olympians;Rick Riordan;2005;Percy Jackson & the Olympians: The Lightning Thief;2010
2333;Perfect Little Angels;Andrew Neiderman;1989;Perfect Little Angels;1998
2334;Pet Sematary;Stephen King;1983;Pet Sematary;1989
2338;Peter and Wendy;J. M. Barrie;1911;Peter Pan;1924
2359;Peyton Place;Grace Metalious;1956;Peyton Place;1957
2360;The Phantom Crown: The Story of Maximilian & Carlota of Mexico;Bertita Harding;1934;Juarez;1939
2361;Phantom Lady (1942), Cornell Woolrich;Cornell Woolrich (as William Irish);1942;Phantom Lady;1944
2362;The Phantom of the Opera (French: Le Fantôme de l'Opéra);NaN;NaN;The Phantom of the Opera (German: Das Phantom der Oper);1916
2371;Pharaoh;Bolesław Prus;1895;Pharaoh;1966
2372;The Philadelphian;Richard P. Powell;1957;The Young Philadelphians;1959
2373;The Pianist (Spanish: El pianista);Manuel Vázquez Montalbán;1985;The Pianist;1998
2374;The Pickwick Papers;NaN;NaN;The Adventures of Mr. Pickwick;1921
2394;The Pillar of Light;Gerald N. Lund;1990;The Work and the Glory;2004
2395;Pin;Andrew Neiderman;1981;Pin;1988
2396;Pioneer, Go Home!;Richard P. Powell;1959;Follow That Dream;1964
2397;The Pirates! in an Adventure with Scientists;Gideon Defoe;2004;The Pirates! In an Adventure with Scientists;2012
2398;Pity My Simplicity;Christopher Massie;1944;Love Letters;1945
2399;Planet of the Apes (French: La Planète des singes);Pierre Boulle;1963;Planet of the Apes;1968
2409;Pleasure Island;William Maier;1949;The Girls of Pleasure Island;1953
2410;Point de lendemain: conte dédiée à la reine;Dominique Vivant;1876;The Lovers (French: Les Amants);1958
2411;Pollyanna;Eleanor H. Porter;1913;Pollyanna;1920
2418;Poodle Springs;NaN;NaN;Poodle Springs;1998
2419;The Pope of Greenwich Village;Vincent Patrick;1979;The Pope of Greenwich Village;1984
2420;Porno;Irvine Welsh;2002;T2 Trainspotting;2017
2421;The Pornographers (エロ事師たち, Erogotoshi-tachi);Akiyuki Nosaka;1963;The Pornographers;1966
2422;Portnoy's Complaint;Philip Roth;1969;Portnoy's Complaint;1972
2423;The Poseidon Adventure;Paul Gallico;1972;The Poseidon Adventure;1972
2427;The Positronic Man;Isaac Asimov and Robert Silverberg;1993;Bicentennial Man;1999
2428;Possession: A Romance;A. S. Byatt;1990;Possession;2002
2429;The Postman;David Brin;1985;The Postman;1997
2430;The Postman Always Rings Twice;James Cain;1934;The Last Turning (French: Le Dernier Tournant);1939
2434;The Power;Frank M. Robinson;1956;The Power;1968
2435;The Power and the Glory;Graham Greene;1940;The Fugitive;1947
2436;The Power of One;Bryce Courtenay;1989;The Power of One;1992
2437;Presumed Innocent;Scott Turow;1987;Presumed Innocent;1990
2438;Pride and Prejudice;Jane Austen;1813;Pride and Prejudice;1940
2463;The Prince of Tides;Pat Conroy;1986;The Prince of Tides;1991
2464;The Princess Bride;William Goldman;1973;The Princess Bride;1987
2465;The Princess Diaries;Meg Cabot;2000;The Princess Diaries;2002
2467;A Princess of Mars;Edgar Rice Burroughs;1917;Princess of Mars;2009
2469;The Prisoner of Zenda;Anthony Hope;1894;The Prisoner of Zenda;1913
2477;Promise at Dawn;Romain Gary;1961;Promise at Dawn;1970
2478;Pronto;Elmore Leonard;1993;Pronto;1997
2479;Professor Unrat, oder Das Ende eines Tyrannen;Heinrich Mann;1905;The Blue Angel (German: Der blaue Engel);1930
2484;Psycho;Robert Bloch;1959;Psycho;1960
2490;Psycho II;Robert Bloch;1982;NaN;NaN
2491;The Puppet Masters;Robert A. Heinlein;1951;The Brain Eaters;1958
2493;The Purple Cloud;M. P. Shiel;1901;The World, the Flesh and the Devil;1959
2494;Pursuit;Richard Unekis;1963;Dirty Mary, Crazy Larry;1974
2495;Q & A;Edwin Torres;1977;Q & A;1990
2496;QB VII;Leon Uris;1970;QB VII (1974) (TV);1974
2497;The Queen of the Damned;Anne Rice;1988;Queen of the Damned;2002
2498;Quentin Durward;Sir Walter Scott;1823;The Adventures of Quentin Durward;1955
2499;The Quick and the Dead;Louis L'Amour;1973;The Quick and the Dead;1987
2500;The Quiet American;Graham Greene;1955;The Quiet American;1958
2502;Radio Free Albemuth;Philip K. Dick;1976;Radio Free Albemuth;2011
2503;The Radleys;Matt Haig;2010;The Radleys;2024
2504;Ragtime;E. L. Doctorow;1975;Ragtime;1981
2505;Raiders of Spanish Peaks;Zane Grey;1938;The Arizona Raiders;1936
2506;Rain;V.C. Andrews;2000;Rain;2006
2507;The Rainbird Pattern;Victor Canning;1972;Family Plot;1976
2508;The Rainbow;D. H. Lawrence;1915;The Rainbow;1989
2509;The Rainbow Trail (a. k. a. The Desert Crucible);Zane Grey;1915;The Rainbow Trail;1918
2512;The Rainmaker;John Grisham;1995;The Rainmaker;1997
2513;Raise the Titanic!;Clive Cussler;1976;Raise the Titanic;1980
2514;Ramrod;Luke Short;1943;Ramrod;1947
2515;Random Hearts;Warren Adler;1984;Random Hearts;1999
2516;Rascal;Sterling North;1963;Rascal;1969
2517;Ratman's Notebooks;Stephen Gilbert;1969;Willard;1971
2520;The Razor's Edge;W. Somerset Maugham;1944;The Razor's Edge;1946
2522;The Reader;Bernhard Schlink;1995;The Reader;2008
2523;Ready Player One;Ernest Cline;2011;Ready Player One;2018
2524;Rebecca;Daphne du Maurier;1938;Rebecca;1940
2526;The Rebel Outlaw: Josey Wales (1973);NaN;NaN;The Outlaw Josey Wales;1976
2527;Red Alert;Peter George;1958;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;1964
2528;Red Dragon;Thomas Harris;1981;Manhunter;1986
2530;Red Hugh: Prince of Donegal;Robert T. Reilly;1957;The Fighting Prince of Donegal;1966
2531;The Red Pony;John Steinbeck;1937;The Red Pony;1949
2533;The Redhead from Sun Dog;W. C. Tuttle;1930;Range Feud;1931
2535;Reflections in a Golden Eye;Carson McCullers;1941;Reflections in a Golden Eye;1967
2536;The Reincarnation of Peter Proud;Max Simon Ehrlich;1973;The Reincarnation of Peter Proud;1975
2537;The Reivers;William Faulkner;1962;The Reivers;1969
2538;The Remains of the Day;Ishiguro;1989;The Remains of the Day;1993
2539;Rendezvous in Black;Cornell Woolrich;1948;Seven Blood-Stained Orchids;1972
2540;The Rescuers;Margery Sharp;1959;The Rescuers;1977
2542;"The Return of the Condor Heroes (神鵰俠侶; Shén Diāo Xiá Lǚ)";Jin Yong;1959;The Great Heroes;NaN
2545;Return of the Living Dead;John Russo;1977;The Return of the Living Dead;1985
2550;The Return of the Native;Thomas Hardy;1878;The Return of the Native;1994
2552;The Return of the Soldier;Rebecca West;1918;The Return of the Soldier;1982
2553;Return to Paradise;James A. Michener;1951;Return to Paradise;1953
2555;Return to Peyton Place;Grace Metalious;1959;Return to Peyton Place;1961
2556;Reuben, Reuben;Peter De Vries;1964;Reuben, Reuben;1970
2557;Revolt;Mary C. McCall, Jr.;1929;Scarlet Dawn;1932
2558;The Revolt of Mamie Stover;William Bradford Huie;1951;The Revolt of Mamie Stover;1956
2559;Revolutionary Road;Richard Yates;1961;Revolutionary Road;2008
2560;The Riddle of the Sands: A Record of Secret Service;Erskine Childers;1903;The Riddle of the Sands;1979
2562;Riders of the Purple Sage;Zane Grey;1912;Riders of the Purple Sage;1918
2567;Ring (リング, Ringu);Koji Suzuki;1991;Ring: Kanzenban;1995
2571;Ripley Under Ground;Patricia Highsmith;1970;Ripley Under Ground;2005
2572;Ripley's Game;Patricia Highsmith;1974;The American Friend (German: Der amerikanische Freund);1977
2574;Rising Sun;Michael Crichton;1992;Rising Sun;1993
2575;The River;Rumer Godden;1946;The River;1951
2576;Riverworld;Philip José Farmer;1971;Riverworld;2003
2578;The Road;Cormac McCarthy;2006;The Road;2009
2579;The Road Back;NaN;NaN;The Road Back;1937
2580;The Robbery (Spanish: El Asalto);Enrique Silberstein;1956;El Asalto (The Robbery);1960
2581;The Robe;Lloyd C. Douglas;1942;The Robe;1953
2582;Robinson Crusoe;Daniel Defoe;1719;Robinson Crusoe;1916
2608;The Rocket to the Moon (German: Die Frau im Mond);Thea von Harbou;1928;Woman in the Moon (German: Frau im Mond);1929
2609;Rogue Cop;William P. McGivern;1954;Rogue Cop;1954
2610;The Romance of Rosy Ridge;MacKinlay Kantor;1937;The Romance of Rosy Ridge;1947
2611;"Romance of the Three Kingdoms (三國演義; Sānguó Yǎnyì)";NaN;NaN;"The Witty Sorcerer (左慈戲曹; Zuǒ Cí xì Cáo)";1931
2624;A Room with a View;E. M. Forster;1908;A Room with a View;1985
2626;The Roots of Heaven;Romain Gary;1957;The Roots of Heaven;1958
2627;Rosemary's Baby;Ira Levin;1967;Rosemary's Baby;1968
2629;The Rover;Joseph Conrad;1923;The Rover;1967
2630;The Ruined Map (燃え尽きた地図, Moetsukita chizu);Kōbō Abe;1967;The Man Without a Map;1968
2631;The Rules of Attraction;Bret Easton Ellis;1987;The Rules of Attraction;2002
2632;Rum Punch;Elmore Leonard;1992;Jackie Brown;1997
2633;The Runaway Jury;John Grisham;1996;Runaway Jury;2003
2634;A Running Duck (a.k.a. Fair Game);Paula Gosling;1974;Cobra;1986
2636;The Running Man;Stephen King[N 32];1982;The Running Man;1987
2637;The Russia House;John le Carré;1989;The Russia House;1990
2638;Sackett;Louis L'Amour;1961;The Sacketts;1979
2639;Sacred Wood (Chinese: 神木 Shen Mu);Liu Qingbang;1999;"Blind Shaft (Chinese: 盲井; pinyin: Mángjǐng)";2003
2640;The Saga of Pecos Bill;Edward O'Reilly;1923;Melody Time;1948
2642;Sahara;Clive Cussler;1992;Sahara;2005
2643;The Sailor Who Fell from Grace with the Sea (午後の曳航, Gogo no eiko);Yukio Mishima;1963;The Sailor Who Fell from Grace with the Sea;1976
2644;Saint Jack;Paul Theroux;1973;Saint Jack;1979
2645;Saint Johnson;W. R. Burnett;1930;Law and Order;1932
2647;The Salamander;Morris West;1973;The Salamander;1981
2648;'Salem's Lot;Stephen King;1975;Salem's Lot;1979
2650;Salmon Fishing in the Yemen;Paul Torday;2006;Salmon Fishing in the Yemen;2011
2651;A Salute to the Great Macarthy;Barry Oakley;1970;The Great Macarthy;1975
2652;Sanctuary;William Faulkner;1931;The Story of Temple Drake;1933
2653;The Sand Pebbles;Richard McKenna;1962;The Sand Pebbles;1966
2654;Sanshirō (三四郎);Natsume Sōseki;1908;Natsume Sōseki's Sanshirō (Japanese: 夏目漱石の三四郎, Sōseki Natsume no Sanshirō);1955
2655;Sanshiro Sugata (姿三四郎, Sugata Sanshirō);Tsuneo Tomita;1942;Sanshiro Sugata;1943
2662;The Satan Bug;Alistair MacLean;1962;The Satan Bug;1965
2663;Save the Tiger;Steve Shagan;1972;Save the Tiger;1974
2664;Sayonara;James A. Michener;1954;Sayonara;1957
2665;A Scanner Darkly;Philip K. Dick;1977;A Scanner Darkly;2006
2666;Scarface;Armitage Trail;1930;Scarface;1932
2668;The Scarlet Gang of Asakusa (浅草紅團, Asakusa Kurenaidan);Yasunari Kawabata;1930;The Scarlet Gang of Asakusa;1930
2671;The Scarlet Letter;Nathaniel Hawthorne;1850;The Scarlet Letter;1908
2681;The Scarlet Pimpernel;Baroness Emmuska Orczy;1903;The Scarlet Pimpernel;1917
2689;The Searchers;Alan Le May;1954;The Searchers;1956
2690;Schindler's Ark;[1] Thomas Keneally;1982;Schindler's List;1993
2691;The Screaming Mimi;Fredric Brown;1949;The Screaming Mimi;1958
2693;The Score;Donald E. Westlake;1963;Pillaged (French: Mise à sac);1967
2695;The Sea Hawk;Rafael Sabatini;1915;The Sea Hawk;1924
2697;The Sea-Wolf;Jack London;1904;The Sea Wolf;1913
2707;Season of the Sun (太陽の季節, Taiyō no Kisetsu);Shintaro Ishihara;1955;Season of the Sun;1956
2708;The Second Victory (1958);NaN;NaN;The Second Victory;1986
2709;The Secret Agent;Joseph Conrad;1907;Sabotage;1936
2711;The Secret Dreamworld of a Shopaholic (2003), Madeline Wickham;Madeline Wickham (as Sophie Kinsella);2003;Confessions of a Shopaholic;2009
2712;The Secret Life of Bees;Sue Monk Kidd;2002;The Secret Life of Bees;2008
2713;Sense and Sensibility;Jane Austen;1811;Sense and Sensibility;1995
2716;The Seven Brothers (Finnish: Seitsemän veljestä);Aleksis Kivi;1870;Seven Brothers;1939
2718;Seven Days to a Killing;Clive Egleton;1973;The Black Windmill;1974
2719;The Seven-Per-Cent Solution;Nicholas Meyer;1974;The Seven-Per-Cent Solution;1976
2720;The Seventh (1967), Donald E. Westlake;Donald E. Westlake (as Richard Stark);1967;The Split;1968
2721;The Shadow Line;Joseph Conrad;1917;The Shadow Line (Polish: Smuga cienia);1976
2722;The Shadow Riders;Louis L'Amour;1982;The Shadow Riders;1982
2723;Shaft;Ernest Tidyman;1970;Shaft;1971
2728;Shaft's Big Score!;Ernest Tidyman;1972;NaN;NaN
2729;Shalako;Louis L'Amour;1962;Shalako;1968
2730;The Shape of Things to Come;H. G. Wells;1933;Things to Come;1936
2732;She: A History of Adventure;NaN;NaN;She;1908
2742;She Loves Me Not;Edward Hope;1933;She Loves Me Not;1934
2745;She Who Was No More (French: Celle qui n'était plus);Pierre Boileau and Thomas Narcejac;1952;Les Diaboliques;1955
2750;Sheep;Simon Maginn;2004;The Dark;2005
2751;A Shilling for Candles (1936), Josephine Tey;Josephine Tey (pseudonym for Elizabeth MacKintosh);1936;Young and Innocent;1937
2752;The Shining;Stephen King;1977;The Shining;1980
2753;Shining Through;Susan Isaacs;1988;Shining Through;1992
2754;The Shipping News;Annie Proulx;1993;The Shipping News;2001
2755;The Shrinking Man;Richard Matheson;1956;The Incredible Shrinking Man;1957
2757;Shoeless Joe;W. P. Kinsella;1982;Field of Dreams;1989
2758;The Shoes of the Fisherman;Morris West;1963;The Shoes of the Fisherman;1968
2759;The Shootist;Glendon Swarthout;1975;The Shootist;1976
2760;Shout at the Devil;Wilbur Smith;1968;Shout at the Devil;1976
2761;Shutter Island;Dennis Lehane;2003;Shutter Island;2010
2762;Sideways;Rex Pickett;2004;Sideways;2004
2763;The Siege of Trencher's Farm;Gordon Williams;1969;Straw Dogs;1971
2765;The Silence of the Lambs;Thomas Harris;1988;The Silence of the Lambs;1991
2766;A Simple Plan;Scott Smith;1993;A Simple Plan;1998
2767;Simple Simon;Ryne Douglas Pearson;1996;Mercury Rising;1998
2768;The Singer Not the Song;Audrey Erskine Lindop;1953;The Singer Not the Song;1961
2769;Single Lady;John Monk Saunders;1931;The Last Flight;1931
2770;Sister Carrie;Theodore Dreiser;1900;Carrie;1952
2771;Six Days of the Condor;James Grady;1974;Three Days of the Condor;1975
2772;Six Weeks;Fred Mustard Stewart;1976;Six Weeks;1982
2773;The Sixth of May (Dutch: De Zesde Mei);Tomas Ross;2003;06.maj;2003
2774;Skinwalkers;Tony Hillerman;1986;Skinwalkers;2002
2775;Skipping Christmas;John Grisham;2001;Christmas with the Kranks;2004
2776;Skyscraper;Faith Baldwin;1931;Skyscraper Souls;1932
2777;Slaughterhouse-Five;Kurt Vonnegut;1969;Slaughterhouse-Five;1972
2778;Slayground;Donald E. Westlake;1971;Slayground;1983
2779;Sleeping with the Enemy;Nancy Price;1987;Sleeping with the Enemy;1991
2780;Sleepless (Arabic: لا أنام, La Anam);Ihsan Abdel Quddous;1969;Sleepless;1957
2781;Sliver;Ira Levin;1991;Sliver;1993
2782;Slugs;Shaun Hutson;1982;Slugs;1988
2783;Small Vices;Robert B. Parker;1997;Spenser: Small Vices;1999
2784;The Snatchers;Lionel White;1953;The Night of the Following Day;1968
2785;Snow Angels;Stewart O'Nan;1994;Snow Angels;2007
2786;Snow Country (雪国, Yukiguni);Yasunari Kawabata;1948;Snow Country;1957
2787;So Red the Rose;Stark Young;1934;So Red the Rose;1935
2788;Solaris;Stanislaw Lem;1961;Solaris;1972
2790;Soldier of Fortune;Ernest K. Gann;1953;Soldier of Fortune;1955
2791;A Soldier's Daughter Never Cries;[2] Kaylie Jones;1990;A Soldier's Daughter Never Cries;1998
2792;Something Wicked This Way Comes;Ray Bradbury;1962;Something Wicked This Way Comes;1972
2794;The Song of Bernadette;Franz Werfel;1941;The Song of Bernadette;1943
2795;The Song of Everlasting Sorrow (Chinese: 長恨歌, Cháng hèn gē);Wang Anyi;1995;Everlasting Regret;2005
2796;The Song of the Blood-Red Flower (Finnish: Laulu tulipunaisesta kukasta);Johannes Linnankoski;1905;The Flame of Life (Swedish: Sången om den eldröda blomman);1919
2801;The Song of the Damned (Portuguese: Canto dos Malditos);Austregésilo Carrano Bueno;2001;Brainstorm (Portuguese: Bicho de Sete Cabeças);2000
2802;Sons and Lovers;D. H. Lawrence;1913;Sons and Lovers;1960
2803;S.O.S. Noronha;Pierre Viré;1954;S.O.S. Noronha;1957
2804;The Sound and the Fury;William Faulkner;1929;The Sound and the Fury;1959
2805;The Sound of the Mountain (山の音, Yama no oto);Chikuma Shobō;1954;Sound of the Mountain;1954
2806;The Sound of Waves (潮騒, Shiosai);Yukio Mishima;1954;The Sound of Waves;1954
2811;Sour Sweet;Timothy Mo;1982;Soursweet;1989
2812;The Space Vampires;Colin Wilson;1976;Lifeforce;1985
2813;Spaceman of Bohemia;Jaroslav Kalfař;2017;Spaceman;2024
2814;The Spanish Gardener;A. J. Cronin;1950;The Spanish Gardener;1957
2815;Spartacus;Howard Fast;1951;Spartacus;1960
2816;Sphere;Michael Crichton;1987;Sphere;1998
2817;Spider;Patrick McGarth;1990;Spider;2002
2818;The Spider-Man (蜘蛛男, Kumo-Otoko);NaN;NaN;The Murderer: Spider-Man (Japanese: 殺人鬼 蜘蛛男, Satsujinki: Kumo-otoko);1958
2820;Spirales;Christopher Frank;1987;Spirale;1987
2821;Split Images;Elmore Leonard;1981;Split Images (1992);1992
2822;The Spoilers;Rex Beach;1906;The Spoilers;1914
2827;The Spook Who Sat by the Door;Sam Greenlee;1969;The Spook Who Sat by the Door;1973
2828;A Sporting Proposition;James Aldridge;1973;Ride a Wild Pony;1975
2829;Spy Story;Len Deighton;1974;Spy Story;1976
2830;The Spy Who Came in from the Cold;John le Carré;1963;The Spy Who Came in from the Cold;1965
2831;The Spy Who Loved Me;Ian Fleming;1962;The Spy Who Loved Me;1977
2832;Stairs of Sand;Zane Grey;1929;Stairs of Sand;1929
2834;The Stalking Moon;T. V. Olsen;1965;The Stalking Moon;1968
2835;Stand at Spanish Boot;Harry Brown;1948;Apache Drums;1951
2836;Star in the West;Richard Emery Roberts;1959;The Second Time Around;1961
2837;Stardust;Neil Gaiman;1999;Stardust;2007
2838;Starfire;Robert Buckner;1960;Moon Pilot;1962
2839;Stars in My Crown;Joe David Brown;1947;Stars In My Crown;1950
2840;The Stars Look Down;A. J. Cronin;1935;The Stars Look Down;1939
2841;Starship Troopers;Robert A. Heinlein;1959;Starship Troopers;1997
2846;Station West;Luke Short;1948;Station West;1948
2847;The Stepford Wives;Ira Levin;1972;The Stepford Wives;1975
2852;Stella Dallas;Olive Higgins Prouty;1923;Stella Dallas;1925
2855;A Stir of Echoes;Richard Matheson;1958;Stir of Echoes;1999
2857;Story of a Prostitute (春婦伝, Shunpuden);Taijiro Tamura;1947;Escape at Dawn (Japanese: 暁の脱走, Akatsuki no Dassō);1950
2859;Story of O (French: Histoire d'O) (1954), Anne Desclos;Anne Desclos (as Pauline Réage);1954;Story of O;1975
2861;The Story of Zarak Khan;A. J. Bevan;1949;Zarak;1956
2862;A Stranger Came Home;George Sanders;1949;A Stranger Came Home;1954
2863;A Stranger Is Watching;Mary Higgins Clark;1977;A Stranger Is Watching;1982
2864;Strangers (異人たちとの夏, Ijintachi to no natsu);Taichi Yamada;1987;The Discarnates;1988
2866;Strangers on a Train;Patricia Highsmith;1950;Strangers on a Train;1951
2869;Stranger's Return;Philip Stong;1933;The Stranger's Return;1933
2870;Strip Tease;Carl Hiaasen;1993;Striptease;1996
2871;The Stud;Jackie Collins;1969;The Stud;1978
2872;Sultana - La Nuit du Sérail;Prince Michael of Greece and Denmark;1982;The Favorite (a.k.a. Intimate Power);1989
2873;The Sum of All Fears;Tom Clancy;1991;The Sum of All Fears;2002
2874;The Sun Also Rises;Ernest Hemingway;1926;The Sun Also Rises;1957
2876;Sunset Pass;Zane Grey;1928;Sunset Pass;1929
2879;The Swarm;Arthur Herzog;1974;The Swarm;1978
2880;The Swiss Family Robinson (French: Der Schweizerische Robinson);Johann David Wyss;1812;Perils of the Wild;1925
2891;The Sword in the Stone;T. H. White;1938;The Sword in the Stone;1963
2892;Taggart;Louis L'Amour;1959;Taggart;1964
2893;Tai-Pan;James Clavell;1966;Tai-Pan;1986
2894;Take Three Tenses: A Fugue in Time;Rumer Godden;1945;Enchantment;1948
2895;The Taking of Pelham One Two Three;Morton Freedgood;1973;The Taking of Pelham One Two Three;1974
2898;A Tale of Two Cities;Charles Dickens;1859;A Tale of Two Cities;1917
2905;Tales of the South Pacific;James A. Michener;1947;South Pacific;1958
2907;The Talented Mr. Ripley;Patricia Highsmith;1955;Purple Noon (French: Plein soleil);1960
2909;The Tall Men;Henry Wilson Allen;1954;The Tall Men;1954
2910;Tarzan;Edgar Rice Burroughs;1912;Tarzan of the Apes;1918
2963;Telefon;Walter Wager;1975;Telefon;1977
