ID;FictionWork;FictionWorkAuthor;FictionWorkYear;FirstFilmAdaptation;FilmAdaptationYear
497;The Bridge over the River Kwai (French: Le Pont de la rivière Kwaï);Pierre Boulle;1952;The Bridge on the River Kwai;1957
498;Bridge to Terabithia;Katherine Paterson;1977;Bridge to Terabithia;1985
500;The Bridges at Toko-Ri;James A. Michener;1953;The Bridges at Toko-Ri;1953
501;The Bridges of Madison County (a. k. a. Love in Black and White);Robert James Waller;1992;The Bridges of Madison County;1995
502;Bridget Jones;Helen Fielding;1996;Bridget Jones's Diary;2001
505;Bright Lights, Big City;Jay McInerney;1984;Bright Lights, Big City;1988
506;Brighton Rock;Graham Greene;1938;Brighton Rock;1948
508;Bringing Out the Dead;Joe Connelly;1998;Bringing Out the Dead;1999
509;Broken April;Ismail Kadare;1978;Abril Despedaçado (Behind the Sun);2001
510;Brothers by Blood  (Norwegian: Brødre i Blodet);Ingvar Ambjørnsen;1996;Elling;2001
513;Brothers in Law;Henry Cecil;1955;Brothers in Law;1957
514;The Brothers Karamazov (Russian: Братья Карамазовы, Brat'ya Karamazovy);Fyodor Dostoyevsky;1880;The Brothers Karamazov;1958
516;Brown's Requiem;James Ellroy;1981;Brown's Requiem;1998
517;Buddwing;Evan Hunter;1964;Mister Buddwing;1966
518;Buffalo Girls;Larry McMurtry;1990;Buffalo Girls (1995) (TV);1995
519;Buffalo Soldiers;Robert O'Connor;1993;Buffalo Soldiers;2003
520;Bump in the Night;Isabelle Holland;1988;Bump in the Night;1991
521;The Burglar in the Closet;Lawrence Block;1978;Burglar;1987
522;The Burmese Harp (Japanese: ビルマの竪琴, Biruma no tategoto);Michio Takeyama;1946;The Burmese Harp;1956
524;The Burning Hills;Louis L'Amour;1956;The Burning Hills;1956
525;The Burning Shore;Wilbur Smith;1985;Burning Shore;1991
526;Burton and Speke;William Harrison;1982;Mountains of the Moon;1990
527;The Busy Body;Donald E. Westlake;1966;The Busy Body;1967
528;But Gentlemen Marry Brunettes;Anita Loos;1927;Gentlemen Marry Brunettes;1955
529;BUtterfield 8;John O'Hara;1935;BUtterfield 8;1960
530;By the Great Horn Spoon!;Sid Fleischman;1963;The Adventures of Bullwhip Griffin;1967
531;The Caine Mutiny;Herman Wouk;1952;The Caine Mutiny;1954
535;Cal;Bernard MacLaverty;1983;Cal;1984
536;Call for the Dead;John le Carré;1961;The Deadly Affair;1966
537;Call Me By Your Name;André Aciman;2007;Call Me By Your Name;2017
538;Call It Treason;George L. Howe;1949;Decision Before Dawn;1951
539;The Call of the Wild;Jack London;1903;The Call of the Wild;1935
546;Candy: A Novel of Love and Addiction;Luke Davies;1998;Candy;2006
547;The Canterbury Tales;NaN;NaN;The Canterbury Tales;1972
548;Canyon Passage;Ernest Haycox;1945;Canyon Passage;1946
549;Captain Blood: His Odyssey;Rafael Sabatini;1922;Captain Blood;1924
555;The Captain's Table;Richard Gordon;1954;The Captain's Table;1959
557;A Captive in the Land;James Aldridge;1962;A Captive in the Land;1990
558;The Card;Arnold Bennett;1911;The Card;1952
559;Careful, He Might Hear You;Sumner Locke Elliott;1963;Careful, He Might Hear You;1983
560;Carlito's Way;Edwin Torres;1975;Carlito's Way;1993
562;The Carpetbaggers;Harold Robbins;1961;The Carpetbaggers;1964
565;Carrie;Stephen King;1974;Carrie;1976
569;A Case of Need;Michael Crichton;1968;The Carey Treatment;1972
570;Case File: FBI;Gordon Gordon and Mildred Gordon;1953;Down Three Dark Streets;1954
571;Cash McCall;Cameron Hawley;1955;Cash McCall;1960
572;Casino Royale;Ian Fleming;1953;Casino Royale;1967
574;The Castle;Franz Kafka;1926;The Castle;1968
578;Car Chaser;Elmore Leonard;1982;Cat Chaser;1989
579;The Cat That Walked by Himself;Rudyard Kipling;1902;The Cat Who Walked by Herself;1988
580;Catch-22;Joseph Heller;1961;Catch-22;1970
581;Catlow;Louis L'Amour;1963;Catlow;1971
582;The Caveman's Valentine;George Dawes Green;1994;The Caveman's Valentine;2001
583;Cell;Stephen King;2006;Cell;2016
584;The Cement Garden;Ian McEwan;1978;The Cement Garden;1993
585;A Certain Mr. Takahashi;Ann Ireland;1985;The Pianist;1991
586;La chair du maître;Dany Laferrière;1997;Heading South (French: Vers le sud);2005
587;The Chamber;John Grisham;1994;The Chamber;1996
588;Charlie and the Chocolate Factory;Roald Dahl;1964;Willy Wonka & the Chocolate Factory;1971
592;Charlie Chan Carries On;Earl Derr Biggers;1930;Charlie Chan Carries On;1931
594;Charlie M;Brian Freemantle;1977;Charlie Muffin;1979
595;Charlotte Gray;Sebastian Faulks;1999;Charlotte Gray;2001
596;Charlotte's Web;E. B. White;1952;Charlotte's Web;1973
599;The Cheetah Girls;Deborah Gregory;1999;The Cheetah Girls;2003
602;The Children of Light;H. L. Lawrence;1960;The Damned;1963
603;The Children of Men;P. D. James;1992;Children of Men;2006
604;Children of Pleasure;Larry Barretto;1932;The Crash;1932
605;The Children of Sanchez;Oscar Lewis;1961;The Children of Sanchez;1978
606;Children of the Covered Wagon;Mary Jane Carr;1934;Westward Ho the Wagons!;1956
607;China Seas;Crosbie Garstin;1934;China Seas;1935
608;The Chinese Parrot;Earl Derr Biggers;1926;The Chinese Parrot;1927
609;Chocolat;Joanne Harris;1999;Chocolat;2000
610;The Chocolate War;Robert Cormier;1974;The Chocolate War;1988
611;Christine;Stephen King;1983;Christine;1983
612;Christmas at Candleshoe;J. I. M. Stewart;1953;Candleshoe;1977
613;Christmas at Twenty-Nine;Kamato Toshio;2002;Singles;2003
614;A Christmas Gift (a. k. a. The Melodeon);Glendon Swarthout;1977;Kelly & Dolly: A Christmas to Remember;1984
615;Christmas Holiday;W. Somerset Maugham;1939;Christmas Holiday;1944
616;The Christmas Shoes;Donna VanLiere;2002;The Christmas Shoes;2002
619;Christopher Strong;Gilbert Frankau;1932;Christopher Strong;1933
620;The Chronicles of Narnia;C.S. Lewis;1950;The Lion, the Witch and the Wardrobe;1979
624;The Chronicles of Prydain;NaN;NaN;The Black Cauldron;1985
625;The Cider House Rules;John Irving;1985;The Cider House Rules;1999
626;Cimarron;Edna Ferber;1929;Cimarron;1931
628;The Cincinnati Kid;Richard Jessup;1964;The Cincinnati Kid;1965
629;Cinderella Liberty;Darryl Ponicsan;1973;Cinderella Liberty;1973
630;The Circus of Dr. Lao;Charles G. Finney;1935;7 Faces of Dr. Lao;1964
631;The Citadel;A. J. Cronin;1937;The Citadel;1938
632;The City of Ember;Jeanne DuPrau;2003;City of Ember;2008
633;City of God (Portuguese: Cidade de Deus);Paulo Lins;1997;City of God;2002
