authorID,authorName
954,Adrián Ferrero
955,Simone Bianchi
956,Jiří Níl
957,Barry Miles
958,Herbert Butterfield
959,Stephen Rebello
960,A.E. Cunningham
961,C.D.C. Reeve
962,Jeff Long
963,Mollie Hunter
964,Mark Treharne
965,Pierre-Louis Rey
966,Frans Thomése
967,Virginia Blain
968,Sam Shepard
969,Henry Fielding
970,John Totleben
971,Gemma Gallart
972,Todd Hanson
973,Michael  Bass
974,Emily Brontë
975,Charles Burns
976,Ryan Stegman
977,James Grady
978,Sean O'Brien
979,Kim Newman
980,Guenevera Tunberg
981,Ben Mezrich
982,Orhan Pamuk
983,Sam Kieth
984,Michael S. Berliner
985,Mike Dringenberg
986,Evon Zerbetz
987,Vivian Kogan
988,Philip Thody
989,J.P. Seaton
990,Barton Zwiebach
991,Charles    Martin
992,John Barth
993,Mark Aronson
994,Csilla Kleinheincz
995,Shane W. Evans
996,Stephen E. Ambrose
997,Elaine Terranova
998,Francisco J. González
999,Alberto Coscarelli
1000,Leslie Kelly
1001,Richard Matheson
1002,Jean-Noël Schifano
1003,Walter Crane
1004,Donald Miller
1005,Glenn Chadbourne
1006,Victor G. Ambrus
1007,D.C. Lau
1008,John    Batchelor
1009,Liesl Mueller
1010,John Guy
1011,山田 章博
1012,Jeri Johnson
1013,Heather O'Neill
1014,Anton C. Pegis
1015,Gretchen Stull
1016,Louise Varèse
1017,Howard Hibbett
1018,Helen  Cooper
1019,Jack C. Haldeman II
1020,C.M. Kornbluth
1021,Frank N. Magill
1022,Rex Warner
1023,Jerzy Kosiński
1024,Stephen Mulhall
1025,Kathryn Lasky
1026,Patrick Coleman
1027,Laura Esquivel
1028,John Leech
1029,Susan Snyder
1030,Dana Regan
1031,Shea Anton Pensa
1032,Trina Schart Hyman
1033,Lawrence Lessig
1034,Giovanni Battista Piranesi
1035,Joost Elffers
1036,Antonia Fraser
1037,Ken Knabb
1038,Marianne Véron
1039,Charles Tang
1040,James E. Campbell
1041,Stephen Hunter
1042,Abraham Moore
1043,Ai Morinaga
1044,Joel-Peter Witkin
1045,Orson Scott Card
1046,Jon Halliday
1047,Noel Perrin
1048,Charles Lamb
1049,Gilbert Murray
1050,John Steven Gurney
1051,Carlos Meglia
1052,Laurence L. Brunton
1053,Marteeka Karland
1054,Frances Morris
1055,Philip Khuri Hitti
1056,Aaron Anderson
1057,Heike Schwarzbauer
1058,Voltaire
1059,Ted Honderich
1060,Ernest Reiss
1061,John Cullum
1062,Len Wiseman
1063,Paul Krugman
1064,John Speirs
1065,Richard Bach
1066,Molly Hatchet
1067,Carlos Fuentes
1068,Armistead Maupin
1069,Thomas E. Skidmore
1070,Sara Paretsky
1071,Jon Kabat-Zinn
1072,Christopher H. Bing
1073,George Henry Jennings
1074,Fabian Nicieiza
1075,David Lodge
1076,Susan  Sheridan
1077,Parry A. Brown
1078,Bryan Magee
1079,Mary M. Flekke
1080,David Lubar
1081,David    Schneider
1082,Tim LaHaye
1083,Deanne Stillman
1084,John Peel
1085,Deena Warner
1086,Paula Danziger
1087,David C. Cassidy
1088,Roger Penrose
1089,Anna Deavere Smith
1090,Ivan Chermayeff
1091,Roger Langton
1092,Peter   Schwartz
1093,Jim Hougan
1094,Carol Ryrie Brink
1095,David Harriman
1096,Robert Hutchinson
1097,Carla Jungquist
1098,William Scovil Anderson
1099,Alexandra Robbins
1100,Sarah A. Hoyt
1101,Wendell Berry
