ratingID,bookID,average_rating,ratings_count,text_reviews_count
1442,5008,3.66,50,5
1443,5015,3.63,52576,3332
1444,5027,4.05,34,10
1445,5051,4.05,154,12
1446,5053,3.88,16057,663
1447,5055,3.82,14545,652
1448,5057,3.95,666,72
1449,5061,3.95,3,0
1450,5062,3.97,20892,953
1451,5065,3.58,13,1
1452,5066,3.97,367,32
1453,5069,4.1,336,5
1454,5071,4.12,340,4
1455,5073,4.06,48,2
1456,5077,4.11,248,27
1457,5084,4.17,69153,6152
1458,5089,4.21,28,7
1459,5094,4.23,173022,5139
1460,5102,4.11,2102,282
1461,5104,4.11,529,59
1462,5107,3.8,2457092,43499
1463,5111,3.72,775,24
1464,5113,3.98,167157,4994
1465,5114,4.11,40629,1189
1466,5128,3.92,30012,797
1467,5129,3.99,1247221,20014
1468,5130,3.83,19668,1031
1469,5131,4.19,3266,163
1470,5132,4.3,98,4
1471,5134,4.19,404,15
1472,5135,3.86,9522,210
1473,5136,3.75,2056,149
1474,5137,4.12,4773,217
1475,5139,3.74,744569,7247
1476,5144,4.01,309,19
1477,5148,3.57,175779,6261
1478,5157,3.88,75494,1386
1479,5158,3.69,23170,587
1480,5159,3.69,43028,1472
1481,5160,4.2,17966,437
1482,5161,3.87,112856,1028
1483,5167,4.06,42695,1845
1484,5168,4.02,227716,3407
1485,5169,3.79,38,5
1486,5171,3.74,74161,2159
1487,5174,3.96,55988,2434
1488,5175,3.73,19366,645
1489,5176,3.69,56320,1185
1490,5179,3.69,19073,427
1491,5186,3.88,25200,1229
1492,5187,3.85,63595,1222
1493,5190,3.7,54119,1629
1494,5191,3.52,78714,3860
1495,5196,3.9,66629,1712
1496,5197,3.95,47143,2998
1497,5198,3.8,19927,812
1498,5202,3.34,364,18
1499,5203,3.88,294348,9096
1500,5204,3.73,87367,2553
1501,5205,3.81,68554,1476
1502,5207,3.91,1005,95
1503,5209,3.54,990,55
1504,5210,3.98,4080,501
1505,5211,4.36,112196,7546
1506,5212,3.49,405,17
1507,5213,3.96,3112,210
1508,5214,3.9,3140,383
1509,5215,4.07,3437,316
1510,5216,4.06,1730,143
1511,5217,4.07,90,5
1512,5219,4.03,3420,280
1513,5220,4.06,5773,828
1514,5230,4.18,67,9
1515,5237,4.23,179,14
1516,5240,4.13,1059,35
1517,5249,3.86,483,54
1518,5255,4.26,56,8
1519,5261,3.76,521,77
1520,5272,3.77,41,4
1521,5289,4.45,11903,183
1522,5294,4.24,2695,119
1523,5296,4.04,32946,895
1524,5297,4.08,760717,17179
1525,5304,4.21,2298,91
1526,5305,3.95,545,52
1527,5306,4.08,56349,3738
1528,5307,4.35,371,25
1529,5308,3.46,160706,6198
1530,5309,4.67,2467,149
1531,5310,4.48,959,22
1532,5314,4.13,14,3
1533,5316,3.88,8,1
1534,5319,4.08,3187,381
1535,5321,4.07,10,1
1536,5322,4.43,1304,32
1537,5327,4.05,4359,353
1538,5328,4.05,6671,490
1539,5330,4.05,276,46
1540,5332,4.1,58,6
1541,5337,3.99,291,33
1542,5338,4.14,30393,449
1543,5342,4.01,1729,364
1544,5344,3.52,41041,1706
1545,5345,3.82,52005,4136
1546,5346,3.87,72294,1755
1547,5348,3.86,89014,2361
1548,5349,3.94,151818,1489
1549,5350,3.92,97474,1928
1550,5351,3.83,89947,1813
1551,5352,3.69,58901,1642
