id,bookID,authorID
834,1527,6613
835,1527,3354
836,1529,2814
837,1530,376
838,1530,5476
839,1530,6115
840,1531,376
841,1531,84
842,1531,9095
843,1532,376
844,1532,240
845,1533,376
846,1533,240
847,1536,8931
848,1536,3354
849,1536,6613
850,1536,2650
851,1536,4767
852,1537,8931
853,1537,444
854,1538,8931
855,1538,444
856,1540,8931
857,1540,5938
858,1540,6696
859,1542,8931
860,1542,4380
861,1542,3359
862,1546,8931
863,1546,9118
864,1546,7224
865,1547,8931
866,1547,3354
867,1547,7397
868,1548,8931
869,1548,5919
870,1549,8931
871,1549,163
872,1549,20
873,1554,8931
874,1554,2043
875,1555,8931
876,1555,444
877,1558,8931
878,1558,7689
879,1559,8931
880,1559,3359
881,1559,176
882,1560,2299
883,1560,8706
884,1560,6613
885,1560,6112
886,1561,2299
887,1561,6619
888,1562,2299
889,1562,1972
890,1563,2299
891,1563,84
892,1566,2299
893,1566,9118
894,1567,2299
895,1567,2446
896,1568,2299
897,1568,6619
898,1571,2299
899,1571,4260
900,1572,2299
901,1572,6619
902,1576,2299
903,1576,4307
904,1577,2299
905,1577,6696
906,1579,2299
907,1579,6619
908,1584,4105
909,1585,5274
910,1586,2299
911,1586,6112
912,1590,2299
913,1590,1718
914,1591,2299
915,1591,2679
916,1592,2299
917,1592,2446
918,1592,4307
919,1592,3963
920,1595,3944
921,1618,7364
922,1620,5989
923,1625,5448
924,1627,4817
925,1633,3521
926,1634,2453
927,1642,3309
928,1643,3309
929,1645,3309
930,1645,6841
931,1646,3309
932,1654,3309
933,1658,7917
934,1658,4737
935,1664,7917
936,1664,4737
937,1667,7460
938,1681,3404
939,1681,8649
940,1681,2801
941,1684,3404
942,1684,8416
943,1684,2631
944,1685,3404
945,1685,1510
946,1685,8649
947,1686,1779
948,1693,3404
949,1693,7410
950,1698,3404
951,1698,1779
952,1698,4589
953,1702,7011
954,1703,2316
955,1707,3404
956,1707,8664
957,1707,6286
958,1709,310
959,1710,310
960,1713,5713
961,1713,765
962,1715,5713
963,1715,9029
964,1715,68
965,1718,5713
966,1718,3359
967,1718,991
968,1720,5713
969,1720,1098
970,1721,5713
971,1721,1098
